Track Name,Album Name,Artist Name(s),Release Date,Popularity,Explicit,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Duration (mins)
Die With A Smile,MAYHEM,Lady Gaga;Bruno Mars,2025-03-07,88,False,2025-12-03T12:16:11Z,"art pop,pop",Interscope Records,0.519,0.601,6,-7.727,0,0.0317,0.289,0.0,0.126,0.498,157.964,3,4.19
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,94,False,2024-12-04T12:15:00Z,Unknown,Darkroom/Interscope Records,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,3.51
APT.,rosie,ROSÉ;Bruno Mars,2024-12-06,84,False,2025-12-03T12:16:11Z,k-pop,Atlantic Records,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4,2.83
Ordinary,"You'll Be Alright, Kid (Chapter 1)",Alex Warren,2024-09-26,91,False,2025-12-03T12:16:11Z,Unknown,Atlantic Records,0.368,0.694,2,-6.141,1,0.06,0.704,6.59e-06,0.055,0.391,168.115,3,3.12
DtMF,DeBÍ TiRAR MáS FOToS,Bad Bunny,2025-01-05,100,True,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4,3.95
back to friends,I Barely Know Her,sombr,2025-08-22,92,False,2025-12-03T12:16:11Z,Unknown,Warner Records,0.436,0.723,1,-2.291,1,0.0301,9.37e-05,8.82e-05,0.0929,0.235,92.855,4,3.32
Golden,KPop Demon Hunters (Soundtrack from the Netflix Film),HUNTR/X;EJAE;AUDREY NUNA;REI AMI;KPop Demon Hunters Cast,2025-06-20,95,False,2025-12-03T12:16:11Z,k-pop,K-Pop Demon Hunters,0.651,0.686,4,-4.371,0,0.0616,0.0966,0.0,0.185,0.104,122.715,3,3.24
luther (with sza),GNX,Kendrick Lamar;SZA,2024-11-21,86,False,2025-12-03T12:16:11Z,"hip hop,west coast hip hop,r&b","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,4,2.96
That’s So True,The Secret of Us (Deluxe),Gracie Abrams,2024-10-18,90,True,2025-12-03T12:16:11Z,Unknown,"Gracie Abrams, under exclusive license to Interscope Records",0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,4,2.77
WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,92,False,2025-12-03T12:16:11Z,Unknown,Darkroom/Interscope Records,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4,4.36
Sailor Song,"At The Beach, In Every Life",Gigi Perez,2025-04-25,88,False,2025-12-03T12:16:11Z,Unknown,"Outtahere, LLC / Island Records",0.499,0.392,11,-10.441,1,0.0262,0.627,7.1e-05,0.192,0.272,95.076,4,3.53
BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,Bad Bunny,2025-01-05,98,True,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3,6.13
Beautiful Things,Fireworks & Rollerblades,Benson Boone,2024-04-05,88,False,2024-12-04T12:15:00Z,Unknown,"Night Street Records, Inc./Warner Records Inc.",0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,3.01
Espresso,Short n' Sweet,Sabrina Carpenter,2024-08-23,87,True,2024-12-04T12:15:00Z,pop,Island Records,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36e-06,0.205,0.708,103.963,4,2.92
Timeless (feat Playboi Carti),Hurry Up Tomorrow,The Weeknd;Playboi Carti,2025-01-31,90,True,2025-12-03T12:16:11Z,rage rap,XO / Republic Records,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96e-06,0.138,0.6,119.999,4,4.27
Messy,This Wasn't Meant For You Anyway,Lola Young,2024-06-21,83,True,2025-12-03T12:16:11Z,Unknown,Universal-Island Records Ltd.,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4,4.73
Iris,Dizzy up the Girl,The Goo Goo Dolls,,93,False,2025-12-03T12:16:11Z,Unknown,Warner Records,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,3,4.83
La Plena - W Sound 05,La Plena (W Sound 05),W Sound;Beéle;Ovy On The Drums,2025-02-19,88,True,2025-12-03T12:16:11Z,"latin afrobeats,reggaeton",WEA Latina,0.894,0.643,5,-3.485,1,0.132,0.543,0.000984,0.101,0.659,99.039,4,2.5
"All The Stars (with SZA) - From ""Black Panther: The Album""",Black Panther The Album Music From And Inspired By,Kendrick Lamar;SZA,2018-02-09,90,True,2025-12-03T12:16:11Z,"hip hop,west coast hip hop,r&b",Black Panther (TDE/DMG) PS,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4,3.87
The Night We Met,Strange Trails,Lord Huron,2015-04-07,89,False,2024-12-04T12:15:00Z,Unknown,Lord Huron,0.44,0.378,2,-9.545,1,0.045,0.968,0.272,0.639,0.105,174.121,3,3.47
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd;JENNIE;Lily-Rose Depp,2023-06-23,91,False,2024-12-04T12:15:00Z,k-pop,XO / Republic Records,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,4,4.08
NUEVAYoL,DeBÍ TiRAR MáS FOToS,Bad Bunny,2025-01-05,97,False,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4,3.06
