Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,MAYHEM,Lady Gaga;Bruno Mars,3/7/2025,251667,88,FALSE,,2025-12-03T12:16:11Z,"art pop,pop",Interscope Records,0.519,0.601,6,-7.727,0,0.0317,0.289,0,0.126,0.498,157.964,3
spotify:track:6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,210373,94,FALSE,,2024-12-04T12:15:00Z,,Darkroom/Interscope Records,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,APT.,rosie,ROSÉ;Bruno Mars,12/6/2024,169917,84,FALSE,,2025-12-03T12:16:11Z,k-pop,Atlantic Records,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,"You'll Be Alright, Kid (Chapter 1)",Alex Warren,9/26/2024,186964,91,FALSE,,2025-12-03T12:16:11Z,,Atlantic Records,0.368,0.694,2,-6.141,1,0.06,0.704,0.00000659,0.055,0.391,168.115,3
spotify:track:3sK8wGT43QFpWrvNQsrQya,DtMF,DeBÍ TiRAR MáS FOToS,Bad Bunny,1/5/2025,237117,100,TRUE,,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
spotify:track:7qjZnBKE73H4Oxkopwulqe,back to friends,I Barely Know Her,sombr,8/22/2025,199032,92,FALSE,,2025-12-03T12:16:11Z,,Warner Records,0.436,0.723,1,-2.291,1,0.0301,0.0000937,0.0000882,0.0929,0.235,92.855,4
spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,Golden,KPop Demon Hunters (Soundtrack from the Netflix Film),HUNTR/X;EJAE;AUDREY NUNA;REI AMI;KPop Demon Hunters Cast,6/20/2025,194607,95,FALSE,,2025-12-03T12:16:11Z,k-pop,K-Pop Demon Hunters,0.651,0.686,4,-4.371,0,0.0616,0.0966,0,0.185,0.104,122.715,3
spotify:track:2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),GNX,Kendrick Lamar;SZA,11/21/2024,177598,86,FALSE,,2025-12-03T12:16:11Z,"hip hop,west coast hip hop,r&b","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
spotify:track:7ne4VBA60CxGM75vw0EYad,That’s So True,The Secret of Us (Deluxe),Gracie Abrams,10/18/2024,166300,90,TRUE,,2025-12-03T12:16:11Z,,"Gracie Abrams, under exclusive license to Interscope Records",0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
spotify:track:3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,261466,92,FALSE,,2025-12-03T12:16:11Z,,Darkroom/Interscope Records,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
spotify:track:21IYMdzTrzSe191Cy5eMap,Sailor Song,"At The Beach, In Every Life",Gigi Perez,4/25/2025,211978,88,FALSE,,2025-12-03T12:16:11Z,,"Outtahere, LLC / Island Records",0.499,0.392,11,-10.441,1,0.0262,0.627,0.000071,0.192,0.272,95.076,4
spotify:track:2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,Bad Bunny,1/5/2025,367725,98,TRUE,,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Fireworks & Rollerblades,Benson Boone,4/5/2024,180304,88,FALSE,,2024-12-04T12:15:00Z,,"Night Street Records, Inc./Warner Records Inc.",0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Espresso,Short n' Sweet,Sabrina Carpenter,8/23/2024,175459,87,TRUE,,2024-12-04T12:15:00Z,pop,Island Records,0.699,0.776,0,-5.282,1,0.0293,0.131,0.00000536,0.205,0.708,103.963,4
spotify:track:0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),Hurry Up Tomorrow,The Weeknd;Playboi Carti,1/31/2025,256000,90,TRUE,,2025-12-03T12:16:11Z,rage rap,XO / Republic Records,0.768,0.775,11,-5.06,0,0.0466,0.069,0.00000296,0.138,0.6,119.999,4
spotify:track:35ISBknsCeZQtq66xABI9g,Messy,This Wasn't Meant For You Anyway,Lola Young,6/21/2024,284066,83,TRUE,,2025-12-03T12:16:11Z,,Universal-Island Records Ltd.,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,Iris,Dizzy up the Girl,The Goo Goo Dolls,1998,289533,93,FALSE,,2025-12-03T12:16:11Z,,Warner Records,0.315,0.715,11,-8.072,0,0.0362,0.00125,0.00000797,0.0942,0.497,155.925,3
spotify:track:6iOndD4OFo7GkaDypWQIou,La Plena - W Sound 05,La Plena (W Sound 05),W Sound;Beéle;Ovy On The Drums,2/19/2025,150001,88,TRUE,,2025-12-03T12:16:11Z,"latin afrobeats,reggaeton",WEA Latina,0.894,0.643,5,-3.485,1,0.132,0.543,0.000984,0.101,0.659,99.039,4
spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"All The Stars (with SZA) - From ""Black Panther: The Album""",Black Panther The Album Music From And Inspired By,Kendrick Lamar;SZA,2/9/2018,232186,90,TRUE,,2025-12-03T12:16:11Z,"hip hop,west coast hip hop,r&b",Black Panther (TDE/DMG) PS,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4
spotify:track:5yJaXWIErrrsjQ3J0eR5aK,The Night We Met,Strange Trails,Lord Huron,4/7/2015,208226,89,FALSE,,2024-12-04T12:15:00Z,,Lord Huron,0.44,0.378,2,-9.545,1,0.045,0.968,0.272,0.639,0.105,174.121,3
spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd;JENNIE;Lily-Rose Depp,6/23/2023,244684,91,FALSE,,2024-12-04T12:15:00Z,k-pop,XO / Republic Records,0.264,0.64,8,-6.221,1,0.0442,0.0393,0.00000231,0.151,0.19,84.828,4
spotify:track:5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,DeBÍ TiRAR MáS FOToS,Bad Bunny,1/5/2025,183685,97,FALSE,,2025-12-03T12:16:11Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
spotify:track:17phhZDn6oGtzMe56NuWvj,Lose Control,I've Tried Everything But Therapy (Part 1),Teddy Swims,9/15/2023,210688,89,FALSE,,2024-12-04T12:15:00Z,,Warner Records,0.561,0.604,9,-4.409,1,0.0337,0.199,0.000019,0.104,0.242,159.92,3
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,4/5/2024,218423,90,FALSE,,2024-12-04T12:15:00Z,,Chappell Roan PS/ Island,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,274192,88,TRUE,,2024-12-04T12:15:00Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
